Designator,Mid X,Mid Y,Rotation,Layer
C1,148.2,-103.8,270.0,top
C10,147.3,-95.3,90.0,top
C11,149.425,-94.7,180.0,top
C12,151.525,-95.8,180.0,top
C13,151.525,-94.7,180.0,top
C14,153.625,-94.7,180.0,top
C15,153.625,-101.85,0.0,top
C16,149.9,-105.5,0.0,top
C2,150.425,-99.2,0.0,top
C3,145.1,-95.3,90.0,top
C4,150.425,-100.2,0.0,top
C5,147.1,-103.8,270.0,top
C6,145.975,-103.8,270.0,top
C7,150.425,-101.2,0.0,top
C8,149.3,-103.8,270.0,top
C9,146.2,-95.3,90.0,top
FB1,153.625,-97.45,180.0,top
FB2,153.625,-98.5,180.0,top
FB3,149.425,-95.75,180.0,top
FB4,153.625,-99.55,180.0,top
FB5,153.625,-95.8,0.0,top
FB6,151.525,-97.2,0.0,top
FB7,153.625,-100.55,0.0,top
J3,155.0,-100.0,270.0,bottom
J4,139.6,-100.1,90.0,bottom
R1,150.4,-103.8,90.0,top
U$1,145.6,-99.7,90.0,top
U1,152.7,-104.2,180.0,top
